Timestamp,Age,Weight,Height,Goal,Activity,Food,Recipe,Fitness,MealTimings,WaterReminder
2025-05-04 19:19:04,20,45,154.0,gain,low,"
        🥣 <strong>Breakfast</strong>: Almonds, Cashew Nuts, King Fish<br>
        🍛 <strong>Lunch</strong>: Jalebi, Gulab Jamun, Brown Rice<br>
        🍽️ <strong>Dinner</strong>: Bhel Puri, Jalebi, Fruit and Nut chocolate
        ",⚠️ Recipe not found for the recommended food.,Start walking 30 mins daily or light yoga.,"{""Breakfast"": ""7:00 AM - 9:00 AM"", ""Dinner"": ""6:00 PM - 8:00 PM"", ""Lunch"": ""12:00 PM - 2:00 PM""}",Reminder: Drink 1.49 liters of water today. Stay hydrated!
2025-05-04 19:25:10,20,45,154.0,gain,low,"
        🥣 <strong>Breakfast</strong>: Almonds, Cashew Nuts, King Fish<br>
        🍛 <strong>Lunch</strong>: Jalebi, Gulab Jamun, Brown Rice<br>
        🍽️ <strong>Dinner</strong>: Bhel Puri, Jalebi, Fruit and Nut chocolate
        ",⚠️ Recipe not found for the recommended food.,Start walking 30 mins daily or light yoga.,"{""Breakfast"": ""7:00 AM - 9:00 AM"", ""Dinner"": ""6:00 PM - 8:00 PM"", ""Lunch"": ""12:00 PM - 2:00 PM""}",Reminder: Drink 1.49 liters of water today. Stay hydrated!
2025-05-04 19:25:24,20,45,154.0,gain,low,"
        🥣 <strong>Breakfast</strong>: Almonds, Cashew Nuts, King Fish<br>
        🍛 <strong>Lunch</strong>: Jalebi, Gulab Jamun, Brown Rice<br>
        🍽️ <strong>Dinner</strong>: Bhel Puri, Jalebi, Fruit and Nut chocolate
        ",⚠️ Recipe not found for the recommended food.,Start walking 30 mins daily or light yoga.,"{""Breakfast"": ""7:00 AM - 9:00 AM"", ""Dinner"": ""6:00 PM - 8:00 PM"", ""Lunch"": ""12:00 PM - 2:00 PM""}",Reminder: Drink 1.49 liters of water today. Stay hydrated!
2025-05-04 19:28:08,20,45,154.0,gain,low,"
        🥣 <strong>Breakfast</strong>: Almonds, Cashew Nuts, King Fish<br>
        🍛 <strong>Lunch</strong>: Jalebi, Gulab Jamun, Brown Rice<br>
        🍽️ <strong>Dinner</strong>: Bhel Puri, Jalebi, Fruit and Nut chocolate
        ",⚠️ Recipe not found for the recommended food.,Start walking 30 mins daily or light yoga.,"{""Breakfast"": ""7:00 AM - 9:00 AM"", ""Dinner"": ""6:00 PM - 8:00 PM"", ""Lunch"": ""12:00 PM - 2:00 PM""}",Reminder: Drink 1.49 liters of water today. Stay hydrated!
2025-05-04 19:29:00,20,45,154.0,gain,low,"
        🥣 <strong>Breakfast</strong>: Almonds, Cashew Nuts, King Fish<br>
        🍛 <strong>Lunch</strong>: Jalebi, Gulab Jamun, Brown Rice<br>
        🍽️ <strong>Dinner</strong>: Bhel Puri, Jalebi, Fruit and Nut chocolate
        ",⚠️ Recipe not found for the recommended food.,Start walking 30 mins daily or light yoga.,"{""Breakfast"": ""7:00 AM - 9:00 AM"", ""Dinner"": ""6:00 PM - 8:00 PM"", ""Lunch"": ""12:00 PM - 2:00 PM""}",Reminder: Drink 1.49 liters of water today. Stay hydrated!
2025-05-04 22:20:20,20,45,154.0,gain,,"
        🥣 <strong>Breakfast</strong>: Almonds, Cashew Nuts, King Fish<br>
        🍛 <strong>Lunch</strong>: Jalebi, Gulab Jamun, Brown Rice<br>
        🍽️ <strong>Dinner</strong>: Bhel Puri, Jalebi, Fruit and Nut chocolate
        ",⚠️ Recipe not found for the recommended food.,Start walking 30 mins daily or light yoga.,"{""0"": {""Breakfast"": ""9:00 AM"", ""Dinner"": ""8:30 PM"", ""Lunch"": ""1:30 PM"", ""Snacks"": ""5:00 PM""}, ""1"": {""Breakfast"": ""8:00 AM"", ""Dinner"": ""8:00 PM"", ""Lunch"": ""1:00 PM"", ""Snacks"": ""4:30 PM""}, ""2"": {""Breakfast"": ""7:30 AM"", ""Dinner"": ""7:30 PM"", ""Lunch"": ""12:30 PM"", ""Snacks"": ""4:00 PM""}}",Reminder: Drink 1.49 liters of water today. Stay hydrated!
2025-05-04 22:22:39,20,45,154.0,gain,,"
        🥣 <strong>Breakfast</strong>: Almonds, Cashew Nuts, King Fish<br>
        🍛 <strong>Lunch</strong>: Jalebi, Gulab Jamun, Brown Rice<br>
        🍽️ <strong>Dinner</strong>: Bhel Puri, Jalebi, Fruit and Nut chocolate
        ",⚠️ Recipe not found for the recommended food.,Start walking 30 mins daily or light yoga.,"{""0"": {""Breakfast"": ""9:00 AM"", ""Dinner"": ""8:30 PM"", ""Lunch"": ""1:30 PM"", ""Snacks"": ""5:00 PM""}, ""1"": {""Breakfast"": ""8:00 AM"", ""Dinner"": ""8:00 PM"", ""Lunch"": ""1:00 PM"", ""Snacks"": ""4:30 PM""}, ""2"": {""Breakfast"": ""7:30 AM"", ""Dinner"": ""7:30 PM"", ""Lunch"": ""12:30 PM"", ""Snacks"": ""4:00 PM""}}",Reminder: Drink 1.49 liters of water today. Stay hydrated!
2025-05-04 22:31:00,20,45,154.0,gain,,"
        🥣 <strong>Breakfast</strong>: Almonds, Cashew Nuts, King Fish<br>
        🍛 <strong>Lunch</strong>: Jalebi, Gulab Jamun, Brown Rice<br>
        🍽️ <strong>Dinner</strong>: Bhel Puri, Jalebi, Fruit and Nut chocolate
        ",⚠️ Recipe not found for the recommended food.,Start walking 30 mins daily or light yoga.,"{""0"": {""Breakfast"": ""9:00 AM"", ""Dinner"": ""8:30 PM"", ""Lunch"": ""1:30 PM"", ""Snacks"": ""5:00 PM""}, ""1"": {""Breakfast"": ""8:00 AM"", ""Dinner"": ""8:00 PM"", ""Lunch"": ""1:00 PM"", ""Snacks"": ""4:30 PM""}, ""2"": {""Breakfast"": ""7:30 AM"", ""Dinner"": ""7:30 PM"", ""Lunch"": ""12:30 PM"", ""Snacks"": ""4:00 PM""}}",Reminder: Drink 1.49 liters of water today. Stay hydrated!
2025-05-04 22:33:15,20,45,154.0,gain,,"
        🥣 <strong>Breakfast</strong>: Almonds, Cashew Nuts, King Fish<br>
        🍛 <strong>Lunch</strong>: Jalebi, Gulab Jamun, Brown Rice<br>
        🍽️ <strong>Dinner</strong>: Bhel Puri, Jalebi, Fruit and Nut chocolate
        ",⚠️ Recipe not found for the recommended food.,Start walking 30 mins daily or light yoga.,"{""0"": {""Breakfast"": ""9:00 AM"", ""Dinner"": ""8:30 PM"", ""Lunch"": ""1:30 PM"", ""Snacks"": ""5:00 PM""}, ""1"": {""Breakfast"": ""8:00 AM"", ""Dinner"": ""8:00 PM"", ""Lunch"": ""1:00 PM"", ""Snacks"": ""4:30 PM""}, ""2"": {""Breakfast"": ""7:30 AM"", ""Dinner"": ""7:30 PM"", ""Lunch"": ""12:30 PM"", ""Snacks"": ""4:00 PM""}}",Reminder: Drink 1.49 liters of water today. Stay hydrated!
2025-05-04 22:34:42,20,45,154.0,gain,,"
        🥣 <strong>Breakfast</strong>: Almonds, Cashew Nuts, King Fish<br>
        🍛 <strong>Lunch</strong>: Jalebi, Gulab Jamun, Brown Rice<br>
        🍽️ <strong>Dinner</strong>: Bhel Puri, Jalebi, Fruit and Nut chocolate
        ",⚠️ Recipe not found for the recommended food.,Start walking 30 mins daily or light yoga.,"{""0"": {""Breakfast"": ""9:00 AM"", ""Dinner"": ""8:30 PM"", ""Lunch"": ""1:30 PM"", ""Snacks"": ""5:00 PM""}, ""1"": {""Breakfast"": ""8:00 AM"", ""Dinner"": ""8:00 PM"", ""Lunch"": ""1:00 PM"", ""Snacks"": ""4:30 PM""}, ""2"": {""Breakfast"": ""7:30 AM"", ""Dinner"": ""7:30 PM"", ""Lunch"": ""12:30 PM"", ""Snacks"": ""4:00 PM""}}",Reminder: Drink 1.49 liters of water today. Stay hydrated!
2025-05-04 22:36:33,20,45,154.0,gain,,"
        🥣 <strong>Breakfast</strong>: Almonds, Cashew Nuts, King Fish<br>
        🍛 <strong>Lunch</strong>: Jalebi, Gulab Jamun, Brown Rice<br>
        🍽️ <strong>Dinner</strong>: Bhel Puri, Jalebi, Fruit and Nut chocolate
        ",⚠️ Recipe not found for the recommended food.,Start walking 30 mins daily or light yoga.,"{""0"": {""Breakfast"": ""9:00 AM"", ""Dinner"": ""8:30 PM"", ""Lunch"": ""1:30 PM"", ""Snacks"": ""5:00 PM""}, ""1"": {""Breakfast"": ""8:00 AM"", ""Dinner"": ""8:00 PM"", ""Lunch"": ""1:00 PM"", ""Snacks"": ""4:30 PM""}, ""2"": {""Breakfast"": ""7:30 AM"", ""Dinner"": ""7:30 PM"", ""Lunch"": ""12:30 PM"", ""Snacks"": ""4:00 PM""}}",Reminder: Drink 1.49 liters of water today. Stay hydrated!
2025-05-04 22:36:49,20,45,154.0,gain,,"
        🥣 <strong>Breakfast</strong>: Almonds, Cashew Nuts, King Fish<br>
        🍛 <strong>Lunch</strong>: Jalebi, Gulab Jamun, Brown Rice<br>
        🍽️ <strong>Dinner</strong>: Bhel Puri, Jalebi, Fruit and Nut chocolate
        ",⚠️ Recipe not found for the recommended food.,Start walking 30 mins daily or light yoga.,"{""0"": {""Breakfast"": ""9:00 AM"", ""Dinner"": ""8:30 PM"", ""Lunch"": ""1:30 PM"", ""Snacks"": ""5:00 PM""}, ""1"": {""Breakfast"": ""8:00 AM"", ""Dinner"": ""8:00 PM"", ""Lunch"": ""1:00 PM"", ""Snacks"": ""4:30 PM""}, ""2"": {""Breakfast"": ""7:30 AM"", ""Dinner"": ""7:30 PM"", ""Lunch"": ""12:30 PM"", ""Snacks"": ""4:00 PM""}}",Reminder: Drink 1.49 liters of water today. Stay hydrated!
2025-05-04 22:38:13,20,45,154.0,gain,,"
        🥣 <strong>Breakfast</strong>: Almonds, Cashew Nuts, King Fish<br>
        🍛 <strong>Lunch</strong>: Jalebi, Gulab Jamun, Brown Rice<br>
        🍽️ <strong>Dinner</strong>: Bhel Puri, Jalebi, Fruit and Nut chocolate
        ",⚠️ Recipe not found for the recommended food.,Start walking 30 mins daily or light yoga.,"{""0"": {""Breakfast"": ""9:00 AM"", ""Dinner"": ""8:30 PM"", ""Lunch"": ""1:30 PM"", ""Snacks"": ""5:00 PM""}, ""1"": {""Breakfast"": ""8:00 AM"", ""Dinner"": ""8:00 PM"", ""Lunch"": ""1:00 PM"", ""Snacks"": ""4:30 PM""}, ""2"": {""Breakfast"": ""7:30 AM"", ""Dinner"": ""7:30 PM"", ""Lunch"": ""12:30 PM"", ""Snacks"": ""4:00 PM""}}",Reminder: Drink 1.49 liters of water today. Stay hydrated!
2025-05-04 22:41:49,20,45,154.0,gain,,"
        🥣 <strong>Breakfast</strong>: Almonds, Cashew Nuts, King Fish<br>
        🍛 <strong>Lunch</strong>: Jalebi, Gulab Jamun, Brown Rice<br>
        🍽️ <strong>Dinner</strong>: Bhel Puri, Jalebi, Fruit and Nut chocolate
        ",⚠️ Recipe not found for the recommended food.,Start walking 30 mins daily or light yoga.,"{""0"": {""Breakfast"": ""9:00 AM"", ""Dinner"": ""8:30 PM"", ""Lunch"": ""1:30 PM"", ""Snacks"": ""5:00 PM""}, ""1"": {""Breakfast"": ""8:00 AM"", ""Dinner"": ""8:00 PM"", ""Lunch"": ""1:00 PM"", ""Snacks"": ""4:30 PM""}, ""2"": {""Breakfast"": ""7:30 AM"", ""Dinner"": ""7:30 PM"", ""Lunch"": ""12:30 PM"", ""Snacks"": ""4:00 PM""}}",Reminder: Drink 1.49 liters of water today. Stay hydrated!
2025-05-04 22:44:59,20,45,154.0,gain,,"
        🥣 <strong>Breakfast</strong>: Almonds, Cashew Nuts, King Fish<br>
        🍛 <strong>Lunch</strong>: Jalebi, Gulab Jamun, Brown Rice<br>
        🍽️ <strong>Dinner</strong>: Bhel Puri, Jalebi, Fruit and Nut chocolate
        ",⚠️ Recipe not found for the recommended food.,Start walking 30 mins daily or light yoga.,"{""0"": {""Breakfast"": ""9:00 AM"", ""Dinner"": ""8:30 PM"", ""Lunch"": ""1:30 PM"", ""Snacks"": ""5:00 PM""}, ""1"": {""Breakfast"": ""8:00 AM"", ""Dinner"": ""8:00 PM"", ""Lunch"": ""1:00 PM"", ""Snacks"": ""4:30 PM""}, ""2"": {""Breakfast"": ""7:30 AM"", ""Dinner"": ""7:30 PM"", ""Lunch"": ""12:30 PM"", ""Snacks"": ""4:00 PM""}}",Reminder: Drink 1.49 liters of water today. Stay hydrated!
